,date,datatype,station,attributes,value
313,2021-02-23T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
314,2021-02-24T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
315,2021-02-24T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
316,2021-02-25T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
317,2021-02-25T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
318,2021-02-26T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
319,2021-02-26T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
320,2021-02-27T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
321,2021-02-27T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
322,2021-02-28T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
323,2021-02-28T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
324,2021-03-01T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
325,2021-03-01T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
326,2021-03-02T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
327,2021-03-02T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
328,2021-03-03T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
329,2021-03-03T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
